iter	RMSE
0	41.12313485
1	39.84647878
2	38.5314376
3	37.31863324
4	36.11523778
5	34.92556338
6	33.75299678
7	32.57762358
8	31.53763683
9	30.48968635
10	29.48779979
11	28.50752424
12	27.63399114
13	26.72916126
14	25.92414897
15	25.06205425
16	24.29972541
17	23.58233428
18	22.80650843
19	22.10056214
20	21.42560529
21	20.7454511
22	20.09680796
23	19.47822674
24	18.8962814
25	18.28131893
26	17.69961604
27	17.13363319
28	16.61008257
29	16.08322861
30	15.59822258
31	15.08647036
32	14.62612818
33	14.17663274
34	13.7301873
35	13.33767769
36	12.95197833
37	12.56089271
38	12.18734963
39	11.83755726
40	11.48693252
41	11.14754624
42	10.80379084
43	10.47956854
44	10.1702432
45	9.852262948
46	9.560677741
47	9.269337855
48	8.995979115
49	8.743933713
50	8.502393268
51	8.246206242
52	7.997715467
53	7.767283481
54	7.54974348
55	7.344097222
56	7.136310406
57	6.96436533
58	6.767386378
59	6.595700244
60	6.399981236
61	6.223911679
62	6.048777408
63	5.886344042
64	5.723365769
65	5.564341168
66	5.416667968
67	5.263895285
68	5.111494848
69	4.96619107
70	4.828522246
71	4.707900384
72	4.594901029
73	4.469849647
74	4.36402576
75	4.248535465
76	4.133215682
77	4.038808924
78	3.941780224
79	3.855279557
80	3.772089827
81	3.681692069
82	3.596475847
83	3.517086436
84	3.437148661
85	3.361710165
86	3.283158855
87	3.21307007
88	3.143200406
89	3.071604905
90	3.008918788
91	2.94669775
92	2.888336325
93	2.824040598
94	2.768780904
95	2.71604693
96	2.666806922
97	2.619657967
98	2.569849115
99	2.521949595
100	2.473537122
101	2.433243604
102	2.387430664
103	2.348754553
104	2.31127853
105	2.27317378
106	2.233075154
107	2.194529903
108	2.156848382
109	2.122294252
110	2.087255629
111	2.055372307
112	2.029381051
113	1.998840617
114	1.971400248
115	1.959248625
116	1.93139368
117	1.904757354
118	1.878101685
119	1.857731199
120	1.85162261
121	1.825808958
122	1.805436189
123	1.783608894
124	1.762479946
125	1.749103617
126	1.729551281
127	1.708116289
128	1.693571996
129	1.674173998
130	1.655636349
131	1.646932044
132	1.630200301
133	1.622393405
134	1.60610992
135	1.588607355
136	1.57683101
137	1.562609303
138	1.55629635
139	1.540773001
140	1.534927987
141	1.522153403
142	1.508198178
143	1.495142497
144	1.482179849
145	1.474330469
146	1.469802281
147	1.461143618
148	1.452248199
149	1.448821727
150	1.440111962
151	1.435978217
152	1.42466622
153	1.411054925
154	1.406760008
155	1.402682218
156	1.399470455
157	1.388550658
158	1.378171136
159	1.374412737
160	1.370566156
161	1.367631161
162	1.36422751
163	1.361435663
164	1.358402929
165	1.354692189
166	1.344294959
167	1.341318532
168	1.332014135
169	1.322300559
170	1.31958583
171	1.316637916
172	1.313883132
173	1.310623683
174	1.297174356
175	1.294562562
176	1.292464145
177	1.289885028
178	1.283471566
179	1.281337063
180	1.279380428
181	1.27161359
182	1.262369128
183	1.260371524
184	1.258271539
185	1.256010723
186	1.25209105
187	1.248691737
188	1.245108032
189	1.243312697
190	1.240849179
191	1.23885555
192	1.236797579
193	1.234735659
194	1.227841002
195	1.225121407
196	1.223539538
197	1.221562851
198	1.219316208
199	1.210706444
200	1.207848145
201	1.206174333
202	1.196369987
203	1.194578547
204	1.190118206
205	1.188503146
206	1.186011774
207	1.18414737
208	1.177806338
209	1.176344772
210	1.175013231
211	1.17262798
212	1.171079057
213	1.169724789
214	1.163955501
215	1.16166493
216	1.155146247
217	1.153887507
218	1.152654913
219	1.148247104
220	1.14706184
221	1.138762369
222	1.133147207
223	1.131846772
224	1.127069001
225	1.126048161
226	1.122509689
227	1.118236872
228	1.117198714
229	1.113608068
230	1.112502305
231	1.105007791
232	1.097672141
233	1.096779231
234	1.08966076
235	1.088296493
236	1.087391685
237	1.08650582
